"BOOK_NAME"	"BOOK_ID"	"AUTHOR"	"PRICE_BOOK"	"TYPE"	"PUBLISHER"	"YEAR_OF_PUBLICATION"	"NUMBER_OF_BOOK"	"STATUS"	"ISBN"
"บุพเพสันนิวาส"	"9115800101"	"รอมแพง"	285	"นิยาย"	"แฮปปี้ บานานา"	"2555"	1	"available"	"91158001"
"สะใภ้จ้าว"	"9115800201"	"จันทรา"	295	"นิยาย"	""	"2555"	1	"available"	"91158002"
"ลออจันทร์"	"9115800301"	"ซ่อนกลิ่น"	340	"นิยาย"	"พิมพ์คำ"	"2555"	1	"available"	"91158003"
"ดุจอัปสร ซีรีส์ ดวงใจเทวพรหม"	"9115800401"	"ณารา"	360	"นิยาย"	"พิมพ์คำ"	"2555"	1	"available"	"91158004"
"Blue Castle's Darling กำราบหัวใจยัยจอมแสบ"	"9115800501"	"ลูกชุบ"	179	"นิยาย"	"แจ่มใส"	"2557"	1	"checked out"	"91158005"
"[K] Final รุ่น พี่ คะ...รัก นะ(แค่ อยาก บอก)"	"9115800601"	"แสตมป์เบอรี่"	209	"นิยาย"	"แจ่มใส"	"2555"	1	"available"	"91158006"
"Medico Y เยลกับยัยป้าผู้น่ารัก"	"9115800701"	"may112"	179	"นิยาย"	"แจ่มใส"	"2556"	1	"available"	"91158007"
"ขวัญฤทัย ซีรีส์ ดวงใจเทวพรหม"	"9115800801"	"เก้าแต้ม"	390	"นิยาย"	"พิมพ์คำ"	"2557"	1	"available"	"91158008"
"อกเกือบหัก แอบรักคุณสามี"	"9115800901"	"นาวาร้อยกวี"	365	"นิยาย"	"อมรินทร์"	"2556"	1	"available"	"91158009"
"White Field's Darling อรุณสวัสดิ์ หลงรักหนุ่มขี้เซา"	"9115801001"	"TheLittleFinger"	199	"นิยาย"	"แจ่มใส"	"2558"	1	"available"	"91158010"
"ปดิวรัดา(สราญจิตต์)"	"9115801101"	"สราญจิตต์"	230	"นิยาย"	""	"2555"	1	"available"	"91158010"
"Dating the Cevil บอสหล่อร้าย หัวใจติดเรต"	"9115801201"	""	99	"นิยาย"	""	"2555"	1	"available"	"91158012"
"ใจพิสุทธิ์ ซีรีส์ ดวงใจเทวพรหม"	"9115801301"	"แพรณัฐ"	310	"นิยาย"	"พิมพ์คำ"	"2555"	1	"available"	"91158013"
"Red Ocean's Darling ตึกๆ ตักๆ หัวใจทักแอบรักหนุ่มเพลย์บอย"	"9115801401"	"หัวสมองตีบตัน"	189	"นิยาย"	"แจ่มใส"	"2555"	1	"available"	"91158014"
"Perfect Match แฟนฉัน รับประกันความเพอร์เฟ็กต์"	"9115801501"	" may112"	199	"นิยาย"	""	"2555"	1	"available"	"91158015"
"[7x] Lady Liar ลวงรักจับผิดหัวใจยัยจอมโกหก"	"9115801601"	"แสตมป์เบอรี่"	230	"นิยาย"	""	"2555"	1	"available"	"91158016"
"White Knight Darling หนีไม่พ้นใจหนุ่มหน้าใสที่รัก (ชุด Darling)"	"9115801701"	"TheLittleFinger"	169	"นิยาย"	""	"2555"	1	"available"	"91158017"
"คิวบิก เล่ม 03"	"9115801801"	"B 13 S.t"	240	"นิยาย"	" Princess ปริ๊นเซส"	"2555"	1	"available"	"91158018"
"คิวบิก เล่ม 02"	"9115801901"	"B 13 S.t"	270	"นิยาย"	" Princess ปริ๊นเซส"	"2555"	1	"available"	"91158019"
"คิวบิก เล่ม 01"	"9115802001"	"B 13 S.t"	250	"นิยาย"	" Princess ปริ๊นเซส"	"2555"	1	"checked out"	"91158020"
"วันพีช One Piece เล่ม 78"	"9115802101"	"เออิจิโร โอดะ"	55	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"สยามอินเตอร์"	"2558"	1	"available"	"91158021"
"ยอดนักปรุงโซมะ เล่ม 13 ตอนสตาจิแอร์"	"9115802201"	"Yuto Tsukuda"	60	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"สยามอินเตอร์"	"2558"	1	"available"	"91158022"
"ผ่าพิภพไททัน Attack on Titan เล่ม 15"	"9115802301"	"เรียว ซุซุกะเซะ"	55	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158023"
"โคนัน 79"	"9115802401"	"โกโช อายาม่า"	55	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158024"
"โคนัน 80"	"9115802501"	"โกโช อายาม่า"	55	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158025"
"สึบาสะ สงครามเทพข้ามมิติ 26"	"9115802601"	"CLAMP"	60	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158026"
"สึบาสะ สงครามเทพข้ามมิติ 28"	"9115802701"	"CLAMP"	80	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158027"
"ผ่าพิภพไททัน Attack on Titan เล่ม 14"	"9115802801"	"เรียว ซุซุกะเซะ"	55	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158028"
"ผ่าพิภพไททัน Attack on Titan เล่ม 12"	"9115802901"	"เรียว ซุซุกะเซะ"	50	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158029"
"สึบาสะ สงครามเทพข้ามมิติ 27"	"9115803001"	"CLAMP"	60	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158030"
"ผ่าพิภพไททัน Attack on Titan เล่ม 13"	"9115803101"	"เรียว ซุซุกะเซะ"	55	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158031"
"ผ่ามัธยมไททัน 4"	"9115803201"	"Saki Nakagawa"	55	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158032"
"วันพีช One Piece เล่ม 77"	"9115803301"	"เออิจิโร โอดะ"	55	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"สยามอินเตอร์"	"2558"	1	"available"	"91158033"
"ฤทธิ์ดาบไร้ปราณี 30"	"9115803401"	"ฮิโรอากิ ซามุระ"	55	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"สยามอินเตอร์"	"2558"	1	"available"	"91158034"
"วันพีช One Piece เล่ม 45"	"9115803501"	"เออิจิโร โอดะ"	45	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"สยามอินเตอร์"	"2558"	1	"available"	"91158035"
"Pretty Guardian Sailor Moon เซเลอร์มูน เล่ม 12 (จบ)"	"9115803701"	"ยูจิ โคบายาชิ"	125	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158037"
"จิ้งจอกเย็นชากับสาวซ่าเทพจำเป็น เล่ม 01"	"9115803801"	"Julietta Suzuki"	45	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"บงกช"	"2558"	1	"available"	"91158038"
"คนสืบผี เล่ม 08"	"9115804001"	"เมย์บี"	45	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"สยามอินเตอร์"	"2558"	1	"available"	"91158040"
"Pretty Guardian Sailor Moon เซเลอร์มูน เล่ม 11"	"9115803601"	"ยูจิ โคบายาชิ"	125	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"วิบูลย์กิจ"	"2558"	1	"available"	"91158036"
"นินจาคาถา โอ้โฮเฮะ นารูโตะ 64"	"9115803901"	"มาซาชิ คิชิโมโตะ"	45	"การ์ตูนญี่ปุ่นและไลท์โนเวล"	"เนชั่น"	"2558"	1	"available"	"91158039"
"จอมกระบี่เทพสังหาร เล่ม 01"	"9115804101"	"มาชิมารุ"	220	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158041"
"เจาะมิติพิชิตบัลลังก์ เล่ม 02"	"9115804201"	"กินารี"	230	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158042"
"ก๋วยเจ๋งยอดวีรบุรุษ เล่ม 4"	"9115804301"	"หวงใส"	240	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158043"
"8 เทพอสูรมังกรฟ้า ล.5"	"9115804401"	"อักษรพิฆาตร"	310	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158044"
"ขอบฟ้า จันทราดาบ เล่ม 1"	"9115804501"	"มีนทรา"	200	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158045"
"ยุทธการล่าบัลลังก์ เล่ม 01"	"9115804601"	"เจ้าบุญ"	250	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158046"
"เทพยุทธ์ทะลุฟ้า เล่ม 3 (จบ)"	"9115804701"	"มหาชัย"	200	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158047"
"เจาะมิติพิชิตบัลลังก์ เล่ม 01"	"9115804801"	"กินารี"	230	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158048"
"12 อาณาจักรเทพยุทธ์ เล่ม 07 "	"9115804901"	"สีนุดา"	125	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158049"
"12 อาณาจักรเทพยุทธ์ เล่ม 03"	"9115805001"	"สีนุดา"	125	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158050"
"เหยี่ยวมารสะท้านสิบทิศ เล่ม 06"	"9115805101"	"เซิ้งหลี่"	170	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158051"
"ขอบฟ้า จันทราดาบ เล่ม 2"	"9115805201"	"มีนทรา"	200	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158052"
"โก้วเล้ง มังกรเมรัย 25 ปี"	"9115805401"	"หลูมี่"	260	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158054"
"จิ้งจอกอหังการ เล่ม 1"	"9115805501"	"เซินเหมย"	275	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158055"
"12 อาณาจักรเทพยุทธ์ เล่ม 05 "	"9115805601"	"สีนุดา"	125	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158056"
"8 เทพอสูรมังกรฟ้า ล.2"	"9115805701"	"อักษรพิฆาตร"	310	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158057"
"จอมกระบี่เทพสังหาร เล่ม 3"	"9115805801"	"มาชิมารุ"	220	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158058"
"นักพรตไร้ใจ ล.3 ตอน ประหารภูต"	"9115805901"	"มีนทรา"	125	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158059"
"ชอลิ้วเฮียง เล่ม 05 ตอนศึกวังค้างคาว"	"9115806001"	"ซอเลิ้ง"	280	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158060"
"คนชนะหนี้"	"9115806101"	"สรวัน"	279	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158061"
"ตีแตก : กลยุทธ์การเล่นหุ้นในภาวะวิกฤต"	"9115806201"	"กิตติญา"	170	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158062"
"เหนือกว่าวอลสตรีท : ONE UP ON WALL STREET"	"9115806301"	"คนยส"	348	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158063"
"นักลงทุนดันโด : The Dhandho Investor"	"9115806401"	"จาริณี"	200	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158064"
"งานไม่ประจำ ทำเงินกว่า"	"9115806501"	"จารุวรรณ"	225	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158065"
"ลงทุนอย่าง...ปีเตอร์ ลินช์ : Beating the Street"	"9115806701"	"วงศกร"	350	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158067"
"ออมก่อน รวยกว่า"	"9115806801"	"ไก่ เพชรบุรี"	120	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158068"
"1 ล้านบาทแรกในชีวิต คุณก็ทำได้"	"9115806901"	"คนแกร่ง"	185	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158069"
"MIDAS TOUCH ผู้ประกอบการมือทอง"	"9115807001"	"กรกนก"	230	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158070"
"ฟรีด้อมเทรดเดอร์ : Freedom Trader"	"9115807201"	"อรอนง"	225	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158072"
"วอร์เรน บัฟเฟ็ตต์ และศิลปะแห่งการค้ากำไรหุ้น : Warren Buffett and the Art of Stock Arbitrage"	"9115807301"	"ทรงมี"	195	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158073"
"สร้าง 500 ล้าน เพียง 2 ปี"	"9115807401"	"ทรงมี"	139	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158074"
"พ่อมดแห่งวอลสตรีท : Market Wizards"	"9115807501"	"ฟ้าพิฆาตร"	396	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158075"
"เศรษฐีชี้ทางรวย The Richest Man in Babylon"	"9115807601"	"สารนุ"	99	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158076"
"ชำแหละพอร์ตโฟลิโอของวอร์เรน บัฟเฟ็ตต์ : The Warren Buffett Stock Portfolio"	"9115807701"	"สารนุ"	230	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158077"
"เส้นทางสู่ความมั่งคั่งด้วยหุ้นสามัญ"	"9115807801"	"ใจที"	268	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158078"
"นโปเลียน ฮิลล์ คิดแบบผู้นำ ทำแบบเศรษฐี"	"9115807901"	"จัทนมีน"	220	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158079"
"สร้างเงินล้าน ก่อนเรียนจบ"	"9115808001"	"จัทนมีน"	225	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158080"
"30 ธุรกิจฮอต ช่องทางสร้างอาชีพ เสริมความรวย!!!"	"9115808101"	"อดิพร"	150	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158081"
"โรงเรียนสอนธุรกิจ : Rich Dad s The Business School for People Who Like Helping People"	"9115808201"	"หัสนัย"	185	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158082"
"พฤติกรรมผู้บริโภค"	"9115808301"	"พิมพ์การน์"	195	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158083"
"อ่านงบการเงินให้เป็น"	"9115808401"	"นุชนาถ"	150	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158084"
"จิตวิทยาสร้างครอบครัวอบอุ่น"	"9115808501"	"อรกมล"	150	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158085"
"MIDAS TOUCH ผู้ประกอบการมือทอง"	"9115808601"	"มลทรา"	230	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158086"
"Samsung's Way วิถีแห่งผู้ชนะ"	"9115808701"	"มลทรา"	169	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158087"
"10 ยอดคุณสมบัติหัวหน้างาน ที่ลูกน้องรักและทำงานให้อย่างเต็มใจยิ่ง"	"9115808901"	"สุขเกษม"	150	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158089"
"การจัดการคลังสินค้า (WAREHOUSE MANAGEMENT)"	"9115809001"	"สุขเกษม"	200	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158090"
"เพิ่มประสิทธิภาพการทำงานด้วยไคเซ็น (Kaizen)"	"9115809101"	"ลุงมี"	160	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158091"
"พ่อรวยสอนลูก # 2 : เงินสี่ด้าน"	"9115809201"	"ลุงตา"	225	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158092"
"KPI และ Action Plan จัดทำ KPI และแปลงสู่แผนปฏิบัติการ (Action Plan) ไม่ให้พลาดเป้า"	"9115809401"	"สมชาย"	280	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158094"
"พ่อรวยสอนลูก#6:เกษียณเร็ว เกษียณรวย : Retire Young Retire Rich"	"9115809501"	"สมปอง"	250	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158095"
"ทำธุรกิจส่วนตัว ใครว่ายาก"	"9115809601"	"สมหมาย"	160	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158096"
"วิถี(ไม่)ตัน ฉบับตัน ภาสกรนที"	"9115809701"	"นางบุญมาก"	100	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158097"
"กลยุทธ์โลจิสติกส์และซัพพลายเชนเพื่อแข่งขันในตลาดโลก"	"9115809801"	"นางมีบุญ"	300	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158098"
"คิดก่อน รวยก่อน รวมอาชีพแปลก ไอเดียบรรเจิด"	"9115809901"	"อนุชา"	125	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	2	"available"	"91158099"
"คิดก่อน รวยก่อน รวมอาชีพแปลก ไอเดียบรรเจิด"	"9115809902
"	"อนุชา"	110	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	2	"available"	"91158099"
"เบนจามิน เกรแฮม กับ การถอดรหัสงบการเงิน The Interpretation of Financial Statements"	"9115807101"	"ศรีสวัส"	158	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158071"
"คัมภีร์ VI ลงทุนหุ้นแบบเน้นคุณค่า"	"9115806601"	"ศรีจิตตรา"	295	"หุ้นการเงินการลงทุน"	"ราตรีการพิมพ์"	"2555"	1	"available"	"91158066"
"คนขุดสุสาน เล่ม 01 ตอนเมืองโบราณกลางทะเลทราย"	"9115805301"	"ลุงมี"	220	"นิยายจีนกำลังภายใน"	"สยามอินเตอร์"	"2555"	1	"available"	"91158053"
"10 ความสามารถหลัก สู่สุดยอดหัวหน้างาน"	"9115809301"	"ลุงแดง"	165	"การบริหารและการจัดการ"	"เอกชนการพิมพ์"	"2555"	1	"available"	"91158093"
